"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"275","Tunisia",2010,NA,2,-4,3,0,0,44050929160.2627,3.5106086386031,24.1804434164096,14.640172,5.0462316885,22471865000
"276","Tunisia",2011,NA,2,-88,-81,0,0,45810626509.4474,-1.91717771660325,21.0911108102995,12.7290692703312,4.6,22641825000
"277","Tunisia",2012,69,2,-88,-81,0,0,45044176963.9542,3.99766619874057,NA,15.5990812234352,NA,25261471000
"278","Tunisia",2013,63,2,-88,-81,0,0,46255554871.6686,2.99565704807499,NA,14.683452,4,25661397000
"279","Tunisia",2014,64,2,7,14,0,0,47603227896.5659,2.86812367021876,NA,13.28618,3.9,26371914000
"280","Tunisia",2015,NA,2,7,14,0,0,43015089722.6754,0.9946425233517,NA,10.35424112,3.56447700709966,27363419000
"281","Turkey",2008,24,3,7,14,0,0,730325337118.723,0.658839040685805,16.1002698419164,480.667,3.41750473871487,290490681000
"282","Turkey",2009,16,3,7,14,0,0,614569781800.821,-4.82587569893094,37.6973383431152,856.034,3.7443328503,278780871000
"283","Turkey",2010,20,3,7,14,0,0,731144536446.484,9.15695448704872,41.3657115554658,1149.281,4.0985900623,300526166000
"284","Turkey",2011,18,3,9,16,0,0,774775356126.167,8.772746296252,25.436335634804,1544.26626010139,4.2,305015656000
"285","Turkey",2012,22,3,9,16,0,0,788862935211.869,2.12746070917433,39.955930990134,1933.67835962636,4.4,336738668000
"286","Turkey",2013,27,3,9,16,0,0,823256641370.335,4.19250934713969,23.7769742949387,2296.03873424933,4.3,389220698000
"287","Turkey",2014,21,3,3,10,0,0,798781754066.919,3.02011821310668,27.51221580627,2630.33,4.4,400874005000
"288","Turkey",2015,18,3,3,10,0,0,717879788566.76,3.97194514959554,26.3082890767911,2882.162,4.48851984369824,397923067000
"289","Uganda",2008,NA,2,-1,6,0,0,14239026629.639,8.7087519014194,21.6213652065322,29.544,3.80709965151515,2292857000
"290","Uganda",2009,NA,2,-1,6,0,0,18160711201.0079,6.76454409157759,20.6209817207032,26.855,3.4418095572,2763177000
"291","Uganda",2010,NA,2,-1,6,0,0,20186498788.8153,5.67419463051142,8.85672817439396,0.735263,3.5323652894,2974599000
"292","Uganda",2011,NA,2,-1,6,0,0,20471099197.0034,9.3940910215985,37.7472157556901,0.66585065462504,3.7,3262582000
"293","Uganda",2012,NA,2,-1,6,0,0,23506194155.2319,3.83428674243318,31.0306865764843,0.803977562378779,3.8,3776141000
"294","Uganda",2013,59,2,-1,6,0,0,24992173594.2485,3.55908095565489,NA,0.86022,3.4,4804134000
"295","Uganda",2014,61,2,-1,6,0,0,27760811822.5182,5.1838289628917,NA,0.670884,2.8,4998231000
"296","Uganda",2015,65,2,-1,6,0,0,27529249701.1469,5.14383772696638,NA,0.023472,2.53393339264777,5756040000
"297","Ukraine",2008,NA,3,7,14,0,0,179992405832.321,2.29999999119013,NA,63.359,3.4661899571831,99354541000
"298","Ukraine",2009,NA,3,7,14,0,0,117227769791.56,-14.8000000150357,NA,63.231,3.7054134172,105064101000
"299","Ukraine",2010,NA,3,6,13,0,0,136013155905.036,4.20000001799505,28.5982629703543,69.320238864,3.6373635833,124297079000
"300","Ukraine",2011,NA,3,6,13,0,0,163159671670.265,5.46553190543162,15.7232848885877,80.9200845454545,3.7,135464770000
"301","Ukraine",2012,NA,3,6,13,0,0,175781379051.433,0.23868130555249,NA,75.7839377415526,4,132069382000
"302","Ukraine",2013,64,3,6,13,0,0,183310146378.081,-0.0267296493157545,NA,14.3835,3.7,147656446000
"303","Ukraine",2014,58,3,4,11,0,0,133503411375.739,-6.55261889108043,NA,22.083,3.3,131206395000
"304","Ukraine",2015,NA,3,4,11,0,0,90615023323.7353,-9.86978436230361,NA,37.7215652,3.16145156621933,122825244000
"305","United Kingdom",2008,47,3,10,17,0,1,2875463235294.12,-0.627205201223418,64.9687656259989,6283.831,5.12624977933884,NA
"306","United Kingdom",2009,52,3,10,17,0,1,2367127278392.27,-4.32773760856608,NA,6615.125,5.2223829081,NA
"307","United Kingdom",2010,46,3,10,17,0,1,2429602904820.77,1.9151618327202,NA,6082.73941307418,5.4887079652,NA
"308","United Kingdom",2011,59,3,10,17,0,1,2608995353308.76,1.50906178236485,NA,6280.25098328964,5.6,NA
"309","United Kingdom",2012,49,3,10,17,0,1,2646002634059.62,1.31301859842485,NA,6243.54285285133,5.8,NA
"310","United Kingdom",2013,48,3,10,17,0,1,2719509472492.7,1.91107841065484,NA,6031.574712,5.7,NA
