"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change","Relevant.Subscription","s2un","s3un"
"24",165,"Uruguay",429.1,0,429.1,0.231,0,17,2410598157,53274.304215,0.0452487966294503,0,0,0.90625,0.7973
"25",200,"United Kingdom",20155.1,3054.7,17100.4,2.32,1,17,18880718760,2861090,0.00659913486118927,-2,1067.67001387583,0.11538,0.08
"26",205,"Ireland",3449.9,0,3449.9,1.503,0,17,4285743226,283716,0.0151057509128847,0,0,0.44681,0.33333
"27",210,"Netherlands",8736.5,1031.3,7705.2,1.745,1,17,8805341917,750318,0.0117354800457939,0,1374.48388549921,0.38462,0.26667
"28",211,"Belgium",6410.7,0,6410.7,1.738,0,15,7031733109,454991,0.0154546641779728,0,0,0.37255,0.25676
"29",212,"Luxembourg",1321.8,69.7,1252.1,1.603,1,17,309530870,58048.242436,0.00533230390810312,0,1200.72541518973,0.43396,0.30667
"30",220,"France",20155.1,3375.6,16779.5,2.076,1,16,24974483090,2433560,0.0102625302396489,22,1387.10366705567,0.25,0.16
"31",225,"Switzerland",5771.1,706.4,5064.7,1.468,1,17,9146991483,670790,0.0136361476512769,0,1053.086659014,0.53846,0.38667
"32",230,"Spain",9535.5,1761.5,7774,1.63,1,17,5621095178,1192960,0.0047118890641765,10,1476.57926502146,0.45098,0.32432
"33",235,"Portugal",2060.1,65,1995.1,1.628,1,17,1471842857,199082,0.00739314883816719,0,326.498628705759,0.45098,0.32432
"34",255,"Germany",26634.4,4484.2,22150.2,1.854,1,17,87470109300,3363600,0.0260049082233321,8,1333.15495302652,0.35849,0.25333
"35",290,"Poland",4095.4,831.8,3263.6,1.715,1,17,2747952173,477337,0.00575683882246715,7,1742.58437958926,0.41176,0.28
"36",305,"Austria",3932,500.8,3431.2,1.442,1,17,4966001818,376967,0.0131735717397014,0,1328.49825050999,0.53846,0.37838
"37",310,"Hungary",1940,100,1840,1.766,1,17,2873266599,121715,0.0236065119253995,0,821.591422585548,0.37255,0.25333
"38",316,"Czech Republic",2180.2,0,2180.2,1.826,0,16,2784094306,185156,0.0150364790014906,2.710363487,0,0.38462,0.28
"39",317,"Slovak Republic",1001,0,1001,1.696,0,17,2237316172,87267.593788,0.0256374224942552,0,0,0.42308,0.29333
"40",325,"Italy",15070,2571.8,12498.2,1.631,1,17,16784728900,1824900,0.00919761570497013,-22.23449778,1409.28270042194,0.43396,0.32
"41",339,"Albania",139.3,0,139.3,1.627,0,16,128745560,11390.365294,0.0113030229212946,0,0,0.46154,0.32
"42",341,"Montenegro",60.5,0,60.5,1.478,0,15,24413208,4019.889098,0.00607310485559072,0,0,0.52941,0.36
"43",343,"Macedonia, former Yugoslav Republic of",140.3,0,140.3,1.61,0,16,136537633,10051.659161,0.0135835916054297,0,0,0.45455,0.32353
"44",344,"Croatia",717.4,0,717.4,1.658,0,16,112096163,48676.334689,0.00230288832789482,0,0,0.4902,0.34247
"45",349,"Slovenia",586.5,0,586.5,1.586,0,17,289609769,42776.716631,0.00677026643952663,0,0,0.46154,0.32
"46",350,"Greece",2428.9,0,2428.9,1.546,0,17,286116923,194860,0.0014683204505799,8.75965155,0,0.5,0.36
"47",352,"Cyprus",303.8,0,303.8,1.397,0,17,49879146,19559.942331,0.00255006610734981,0,0,0.51852,0.4
"48",355,"Bulgaria",896.3,0,896.3,1.672,0,16,755701330,50199.117547,0.0150540759863449,0,0,0.42308,0.29333
"49",359,"Moldova",172.5,0,172.5,1.612,0,16,21515151,6512.89954,0.00330346735242288,0,0,0.5,0.33784
